,tempos[s],u_1,u_2,u_3,u_4,u_5,u_bar,u_prime_1,u_prime_2,u_prime_3,u_prime_4,u_prime_5
82,0.0164,1.7336,0.8912,1.0536,1.2868,1.286,1.0446,-0.6890000000000001,0.15339999999999998,-0.009000000000000119,-0.24219999999999997,-0.24140000000000006
83,0.0166,1.7247,0.8861,1.0518,1.2796,1.3069,1.0442833333333332,-0.6804166666666667,0.15818333333333323,-0.007516666666666838,-0.23531666666666684,-0.2626166666666667
84,0.0168,1.7313,0.8831,1.0505,1.269,1.3341,1.0474666666666665,-0.6838333333333335,0.16436666666666655,-0.0030333333333334433,-0.22153333333333336,-0.2866333333333335
85,0.017,1.7225,0.8816,1.0474,1.2598,1.3449,1.0455333333333334,-0.6769666666666665,0.16393333333333338,-0.0018666666666666831,-0.2142666666666666,-0.29936666666666656
86,0.0172,1.7291,0.8786,1.0462,1.2475,1.3614,1.0466666666666666,-0.6824333333333334,0.1680666666666666,0.00046666666666661527,-0.20083333333333342,-0.3147333333333333
87,0.0174,1.7269,0.8748,1.0443,1.2431,1.3435,1.0416666666666667,-0.6852333333333334,0.16686666666666672,-0.0026333333333332654,-0.20143333333333335,-0.3018333333333332
88,0.0176,1.7336,0.8748,1.0431,1.2388,1.3558,1.04395,-0.6896500000000001,0.1691499999999999,0.0008500000000000174,-0.19484999999999997,-0.31184999999999996
89,0.0178,1.7137,0.8732,1.0389,1.2377,1.3328,1.0356833333333333,-0.6780166666666667,0.1624833333333333,-0.0032166666666666455,-0.20201666666666673,-0.2971166666666667
90,0.018,1.7561,0.8694,1.0377,1.2334,1.3288,1.0405666666666666,-0.7155333333333334,0.1711666666666667,0.002866666666666573,-0.1928333333333334,-0.28823333333333334
91,0.0182,1.7247,0.8686,1.0371,1.2281,1.3184,1.0325166666666667,-0.6921833333333332,0.1639166666666667,-0.004583333333333162,-0.19558333333333322,-0.28588333333333327
92,0.0184,1.7181,0.8678,1.0347,1.2302,1.3355,1.0341166666666666,-0.6839833333333334,0.16631666666666656,-0.0005833333333333801,-0.1960833333333334,-0.30138333333333334
93,0.0186,1.7291,0.8646,1.0329,1.225,1.3275,1.03295,-0.69615,0.16835,5.0000000000105516e-05,-0.19205000000000005,-0.29454999999999987
94,0.0188,1.7291,0.8622,1.0317,1.225,1.3558,1.0371,-0.6920000000000002,0.17489999999999994,0.005399999999999849,-0.18790000000000018,-0.3187
95,0.019,1.7225,0.8606,1.0317,1.226,1.3517,1.03525,-0.6872499999999999,0.17464999999999997,0.003549999999999942,-0.19074999999999998,-0.3164499999999999
96,0.0192,1.7336,0.8582,1.0305,1.226,1.3628,1.0383833333333332,-0.6952166666666668,0.18018333333333325,0.007883333333333242,-0.18761666666666676,-0.3244166666666668
97,0.0194,1.7203,0.8598,1.0341,1.2271,1.3784,1.03985,-0.68045,0.18004999999999993,0.005749999999999922,-0.18725000000000014,-0.33855000000000013
98,0.0196,1.7291,0.8473,1.0269,1.2281,1.3756,1.0377666666666665,-0.6913333333333336,0.19046666666666645,0.01086666666666658,-0.19033333333333347,-0.33783333333333343
99,0.0198,1.7225,0.8532,1.0269,1.2324,1.377,1.0386333333333333,-0.6838666666666666,0.18543333333333334,0.011733333333333373,-0.19376666666666664,-0.3383666666666667
100,0.02,1.7269,0.8541,1.0251,1.2377,1.3901,1.0423166666666666,-0.6845833333333335,0.1882166666666666,0.017216666666666658,-0.19538333333333346,-0.34778333333333333
101,0.0202,1.7247,0.8473,1.0257,1.2475,1.402,1.0445666666666666,-0.6801333333333333,0.1972666666666666,0.018866666666666587,-0.2029333333333334,-0.35743333333333327
102,0.0204,1.7247,0.849,1.0246,1.261,1.411,1.0484499999999999,-0.67625,0.1994499999999999,0.023849999999999927,-0.21255000000000002,-0.36255000000000015
103,0.0206,1.7269,0.8482,1.0246,1.282,1.4171,1.0532333333333332,-0.6736666666666669,0.2050333333333333,0.02863333333333329,-0.22876666666666678,-0.3638666666666668
104,0.0208,1.7291,0.849,1.0246,1.3103,1.4264,1.0600333333333334,-0.6690666666666667,0.2110333333333334,0.03543333333333343,-0.25026666666666664,-0.3663666666666665
105,0.021,1.7225,0.8507,1.0234,1.3167,1.4327,1.0611666666666668,-0.6613333333333331,0.2104666666666668,0.037766666666666726,-0.25553333333333317,-0.37153333333333327
106,0.0212,1.7247,0.8524,1.024,1.3284,1.4374,1.0646833333333334,-0.6600166666666665,0.21228333333333338,0.040683333333333405,-0.2637166666666666,-0.3727166666666666
107,0.0214,1.7269,0.8557,1.024,1.339,1.4311,1.0663500000000001,-0.66055,0.21065000000000011,0.04235000000000011,-0.27264999999999984,-0.3647499999999999
108,0.0216,1.7225,0.859,1.024,1.378,1.4171,1.0703666666666667,-0.6521333333333332,0.2113666666666667,0.04636666666666667,-0.3076333333333332,-0.34673333333333334
109,0.0218,1.7291,0.8646,1.0234,1.3751,1.408,1.0703333333333334,-0.6587666666666667,0.20573333333333332,0.04693333333333327,-0.30476666666666663,-0.33766666666666656
110,0.022,1.7203,0.8717,1.024,1.397,1.3945,1.0715833333333333,-0.6487166666666666,0.1998833333333333,0.04758333333333331,-0.3254166666666667,-0.32291666666666674
111,0.0222,1.7291,0.8794,1.0234,1.406,1.3784,1.0730833333333334,-0.6560166666666667,0.19368333333333343,0.0496833333333333,-0.3329166666666665,-0.3053166666666667
112,0.0224,1.7269,0.8897,1.0246,1.4182,1.367,1.0748,-0.6521000000000001,0.18509999999999993,0.05020000000000002,-0.3433999999999999,-0.2922
113,0.0226,1.7247,0.9018,1.0234,1.4197,1.3368,1.0715000000000001,-0.6531999999999998,0.16970000000000007,0.04810000000000003,-0.34819999999999984,-0.26529999999999987
114,0.0228,1.7247,0.9121,1.024,1.4259,1.3315,1.0735,-0.6512,0.16139999999999988,0.04949999999999988,-0.35240000000000005,-0.258
115,0.023,1.7225,0.9239,1.0234,1.4228,1.3288,1.0740666666666667,-0.6484333333333332,0.15016666666666667,0.05066666666666664,-0.34873333333333334,-0.25473333333333326
