,tempos[s],u_1,u_2,u_3,u_4,u_5,u_bar,u_prime_1,u_prime_2,u_prime_3,u_prime_4,u_prime_5
46,0.0092,11.9612,3.317,4.3026,6.2533,5.7807,5.270666666666666,-6.690533333333334,1.953666666666666,0.9680666666666662,-0.9826333333333341,-0.5100333333333342
47,0.0094,11.8257,3.5335,4.249,6.0179,7.2326,5.478016666666666,-6.347683333333333,1.944516666666666,1.2290166666666664,-0.5398833333333339,-1.7545833333333336
48,0.0096,11.3019,4.0275,4.4164,6.4916,7.755,5.667000000000001,-5.634899999999999,1.6395000000000008,1.2506000000000004,-0.8245999999999993,-2.087999999999999
49,0.0098,11.952,5.2045,5.5198,5.4954,7.4903,5.9453,-6.0067,0.7407999999999992,0.42549999999999955,0.4498999999999995,-1.5450000000000008
50,0.01,11.8733,5.3183,6.9941,6.5174,7.4573,6.3617333333333335,-5.511566666666667,1.0434333333333337,-0.632366666666667,-0.15566666666666684,-1.0955666666666666
51,0.0102,11.3019,5.6229,6.5174,6.0749,7.2326,6.126649999999999,-5.175250000000001,0.5037499999999993,-0.3907500000000015,0.05174999999999841,-1.1059500000000009
52,0.0104,11.9403,5.9533,6.3882,7.6413,6.6487,6.430366666666667,-5.509933333333334,0.4770666666666674,0.042166666666666686,-1.2109333333333332,-0.21833333333333282
53,0.0106,11.8987,6.5549,5.6119,8.0314,6.274,6.396916666666666,-5.501783333333334,-0.15798333333333403,0.7850166666666656,-1.6344833333333337,0.1229166666666659
54,0.0108,11.2646,6.5549,4.7568,7.1784,7.3316,6.182849999999999,-5.08175,-0.37205000000000066,1.4260499999999992,-0.9955500000000006,-1.1487500000000006
55,0.011,11.9005,7.309,4.8082,6.3882,7.1139,6.255133333333333,-5.645366666666666,-1.053866666666667,1.446933333333333,-0.1330666666666671,-0.8587666666666669
56,0.0112,11.9111,8.522,5.0519,5.8292,6.9495,6.379149999999999,-5.53195,-2.142850000000001,1.3272499999999994,0.549949999999999,-0.5703500000000004
57,0.0114,11.2591,7.0189,4.8541,5.4406,6.2548,5.806483333333333,-5.452616666666667,-1.212416666666667,0.9523833333333336,0.36588333333333356,-0.4483166666666669
